 37-12,24,30,34,35,40     3,4,25,27,31,36       5,7,8,29,33,38
 38-2,13,21,22,33,41      12,19,25,26,37,40     2,5,9,22,30,42
 39-20,25,29,35,38,42     5,14,27,28,31,32      1,3,7,18,33,42
 40-14,16,17,25,33,38     11,17,27,30,33,41     8,11,13,18,26,41
 41-4,6,9,13,24,35        4,13,16,20,22,26      11,22,26,31,33,41
 42-9,10,17,34,36,38      4,9,21,31,34,37       5,20,22,26,34,35
 43-4,6,18,20,23,27       2,9,16,34,35,37       3,13,17,19,24,34
 44-2,6,16,19,23,35       3,10,15,20,25,27      9,15,16,21,24,37
 45-3,9,14,27,32,39       8,15,20,24,29,35      1,4,10,17,19,36
 46-9,11,17,18,25,35      10,15,26,31,35,37     7,9,17,22,23,42
 47-1,2,12,17,19,37       13,17,21,30,35,42     7,12,13,16,35,42
 48-2,3,16,22,23,27       7,16,18,26,28,29      1,2,10,12,22,41
 49-11,16,18,26,30,39     7,21,32,34,36,41      5,14,20,21,30,31
 50-6,13,21,26,30,35      4,8,21,32,40,41       4,8,13,15,30,41
 51-5,7,15,18,22,29       3,5,6,10,11,42        14,16,21,24,39,40
 52-2,11,13,21,26,32      2,3,24,31,32,39       13,14,15,16,19,40
 53-9,18,24,30,34,40      13,24,28,32,35,37     8,11,23,24,36,37
 54-1,8,15,18,30,42       8,19,25,35,41,42      1,2,14,19,20,22
 55-9,11,30,36,39,40      6,16,20,22,26,32      3,9,22,36,41,42
 56-8,20,24,27,36,40      2,8,13,27,36,37       7,29,31,35,37,39
 57-1,3,7,10,19,26        1,5,17,21,23,32       11,18,20,21,37,38
 58-4,5,6,7,32,36         10,16,22,31,32,37     5,13,20,32,33,42
 59-10,13,18,19,23,36     6,11,16,23,29,39      5,10,12,27,28,34
 60-13,14,17,23,31,33     6,11,13,14,23,36      6,15,20,38,40,42
 61-8,14,19,21,22,24      5,12,15,20,26,30      1,3,20,21,40,41
 62-2,9,12,16,20,30       1,3,8,11,31,37        14,27,28,32,33,35
 63-11,15,21,26,29,42     4,13,15,18,22,39      1,11,24,32,34,40
 64-4,6,16,21,35,41       6,19,37,39,40,41      10,22,26,27,35,36
 65-5,6,7,19,23,25        1,5,11,14,19,33       13,14,15,23,38,39
 66-2,16,22,26,34,39      3,5,14,18,27,31       1,5,17,22,28,34
 67-12,24,29,35,39,40     7,9,20,31,36,42       4,16,19,26,33,34
 68-8,25,28,29,30,40      11,12,14,17,22,32     3,8,23,37,38,40
 69-4,21,26,32,34,38      8,12,19,27,38,39      1,2,9,22,23,26
 70-3,14,26,30,36,39      1,8,14,22,23,36       4,5,10,18,29,32
 71-8,9,10,34,37,40       1,5,9,14,31,33        7,12,15,16,22,29
 72-5,16,17,18,26,38      11,17,20,24,27,31     19,28,29,31,33,34
 73-5,15,16,36,39,41      2,20,29,34,38,41      7,10,11,21,27,36
 74-9,14,16,20,37,38      10,20,28,34,37,41     7,16,30,34,38,42
 75-2,17,21,25,39,40      14,20,27,30,31,42     3,14,15,17,30,39
 76-7,9,20,34,40,42       6,17,22,23,25,42      12,16,22,30,33,41
 77-3,12,13,19,26,36      14,15,16,33,34,40     5,11,26,27,28,31
 78-7,10,11,32,33,41      15,19,25,30,39,40     3,10,18,26,27,42
 79-9,10,23,24,29,31      9,11,18,26,33,35      11,14,28,29,31,33
 80-8,10,21,27,35,36      1,6,14,30,34,35       4,10,17,22,28,33
 81-7,25,29,32,37,38      1,11,17,22,33,36      1,10,11,22,25,36
 82-1,2,7,25,26,34        3,12,18,28,29,32      5,10,19,23,25,34
 83-4,5,10,24,32,42       4,8,12,15,25,38       8,11,13,23,27,34
 84-3,8,12,23,26,31       1,3,25,26,36,37       11,20,24,33,36,38
 85-4,7,11,14,20,36       10,26,32,36,37,40     4,5,8,26,27,33
 86-22,23,25,27,31,38     2,7,9,15,19,32        1,10,21,29,31,34
 87-17,18,24,32,39,41     10,26,29,34,35,41     7,18,22,24,36,42
 88-11,12,14,22,25,27     12,18,26,30,33,39     1,11,16,19,24,40
 89-2,5,9,17,18,35        9,13,21,24,36,37      2,4,8,18,28,34
 90-1,18,22,30,33,37      7,8,19,32,33,36       2,3,4,10,12,42
 91-3,4,6,13,16,24        1,4,10,21,25,31       8,19,20,22,26,41
 92-16,22,28,33,35,37     7,16,17,19,22,28      5,18,27,38,40,41
 93-7,25,29,30,31,42      2,21,24,31,37,41      1,3,12,17,25,30
 94-1,13,14,17,26,38      13,16,23,25,33,34     6,7,10,40,41,42
 95-8,14,25,30,32,40      2,6,18,23,32,42       1,11,14,19,39,41
 96-14,17,20,29,32,35     3,19,20,26,27,41      16,20,26,37,38,42
 97-7,18,21,23,24,41      7,13,15,24,38,39      1,6,9,11,13,15
 98-4,10,11,24,29,32      3,5,18,28,30,38       18,26,30,36,41,42
 99-3,14,15,17,18,32      5,6,12,13,17,21       7,14,18,21,24,25
100-13,19,23,31,36,40     22,23,24,26,37,40     7,9,12,16,25,42
101-12,20,21,22,23,35     3,15,20,31,36,37      7,8,13,21,26,38
102-1,19,20,25,32,41      8,12,16,20,23,25      7,14,20,26,36,39
103-2,9,16,18,25,42       7,18,21,31,38,39      2,13,18,21,36,37

