
48-5,11,25,28,29,31		2,10,11,21,22,36		3,14,23,26,31,41
49-3, 5,15,21,37,38		11,20,21,30,31,38		7,22,26,27,36,41
50-3, 5,11,20,24,41		7, 9,13,15,16,37		18,23,31,32,41,42
51-2,17,18,29,31,37		3,13,16,17,33,39		7,15,16,23,28,29
52-7,13,16,31,33,36		1, 5,24,28,34,37		4,10,13,27,37,38
53-1, 5, 7,18,24,31		4,19,23,30,34,37		2, 4,14,15,19,34
54-8,16,20,25,34,38		4, 6,11,12,17,31		13,21,30,36,39,40
55-13,16,26,32,37,38		1,14,22,31,38,42		8, 9,20,21,38,42
56-5, 6,30,31,34,39		11,13,14,15,22,41		1,12,13,14,15,36
57-3, 6,12,13,17,36		10,22,26,29,36,38		1, 6, 7, 9,25,36
58-9,13,17,31,34,42		10,12,14,15,19,21		18,19,20,21,28,40
59-3,12,13,15,30,37		7,21,22,25,28,30		7, 8,10,15,16,42
60-5, 7,19,24,36,41		13,20,29,30,34,38		6, 9,27,33,35,36
61-15,17,22,33,37,40		16,17,21,26,33,38		3, 5, 7,24,27,36
62-2,14,19,22,28,34		2, 3, 8,12,21,29		6, 8,13,16,17,41
63-6, 7,11,21,27,38		7,24,26,27,31,41		5,17,23,28,32,34
64-3,12,13,14,29,31		1,21,22,26,29,31		11,13,25,29,34,39
65-6, 9,18,24,36,40		1, 5,17,18,21,35		1,11,12,13,26,33
66-5, 6,32,34,38,39		8,22,28,32,33,40		1,10,14,20,35,36
67-5, 7, 8,12,17,24		10,13,23,24,35,40		1,10,11,14,26,31
68-1,23,25,29,30,37		5, 6,13,29,31,33		2, 6,11,18,23,35
69-5,10,19,25,28,37		1, 6,12,21,34,35		2,12,20,23,31,42
70-8,16,18,19,31,36		1,10,13,29,31,35		11,21,26,27,30,35
71-9,14,16,24,28,35		16,17,20,21,26,32		3,12,27,32,39,42
72-10,14,27,28,29,38		13,24,25,35,39,40		4,15,23,24,35,42
73-5, 7, 8,31,36,38		10,13,18,36,38,41		4,15,23,24,35,42
74-7,15,33,34,36,41		9,16,18,22,31,35		4, 9,19,30,35,42
75-4, 6, 7, 8,13,14		10,14,16,25,30,42		21,22,28,32,34,39
76-7,16,17,18,23,42		6,12,13,18,27,32		2, 6, 9,18,19,26
77-18,19,20,26,30,39		2, 9,12,19,27,39		8,24,27,31,34,38
78-7, 8,14,15,30,32		1, 2,16,26,30,34		20,21,25,26,31,32
79-9,15,26,31,35,42		1, 2, 7,21,38,41		13,21,24,37,38,42
80-4,11,12,13,15,41		3, 5, 6,12,28,34		1, 3, 5, 6,19,38
81-1, 5,13,14,18,28		1,11,22,28,29,33		9,10,17,20,29,39
82-2,18,20,27,30,31		18,22,23,26,36,40		9,14,15,21,23,40
83-1,12,15,22,25,42		7, 8,14,24,39,40		3,13,16,23,24,27
84-1, 2, 4,21,28,29		2, 9,10,13,15,31		6,10,17,22,24,36
85-8, 9,24,25,33,34		1, 6,10,12,29,34		5,20,32,35,36,39
86-12,21,22,24,30,40		6, 8,10,16,22,37		3,11,17,24,27,39
87-2,23,26,36,38,40		1, 2, 7,25,34,38		18,23,24,26,35,36
88-12,22,23,27,38,42		2, 3, 4,24,30,37		5, 9,20,25,31,33
89-4,14,23,24,36,38		17,19,22,26,31,35		3, 6,18,32,34,40
90-15,16,30,32,36,41		8, 9,14,19,32,42		2,26,31,35,38,42
91-12,33,38,39,41,42		7,12,13,19,26,38		6,13,26,35,38,39
92-9,15,21,22,33,40		3, 7,11,14,18,24		6,14,24,25,30,40
93-2, 3, 4,21,31,37		7,13,17,21,25,35		1, 5, 8,10,16,42
94-8, 9,12,17,38,39		2,16,17,32,36,39		4, 5, 7,14,25,38
95-1, 6,11,22,33,41		15,20,25,26,30,36		6,10,13,32,38,41
96-9,19,36,38,40,42		20,21,34,35,36,42		2, 8,10,17,25,42
97-2, 6,16,27,32,36		1,18,25,27,35,38		6, 9,19,23,25,31
98-4, 5, 7,18,20,22		9,16,24,25,37,38		8,13,17,26,29,36
99-25,26,32,34,39,42		2, 3,30,35,40,42		18,19,28,37,38,39
100-5, 6,14,25,37,41		8,26,27,28,32,37		9,14,24,35,38,40
101-1, 2, 5,28,35,36		7,12,14,18,19,26		1, 4,32,36,37,38
102-5,27,28,33,34,35		15,19,20,24,26,27		6,10,14,21,24,29
103-7,14,15,17,25,40		7,12,17,33,36,40		2,11,15,24,38,39
104-2, 4,13,19,31,42		13,19,22,30,31,40		2, 4, 5,15,16,40
105-5, 7, 8,22,27,30		11,12,15,16,19,30		11,17,25,27,31,32
